Dia,Mes,Anno,T Min,Promedio,T Max
2,8,2018,15,19,23
3,8,2018,15,17,21
4,8,2018,14,16,20
5,8,2018,13,17,22
6,8,2018,13,17,23
7,8,2018,14,18,24
8,8,2018,14,18,24
9,8,2018,15,18,23
10,8,2018,13,17,23
11,8,2018,13,17,24
12,8,2018,14,16,20
13,8,2018,14,17,23
14,8,2018,13,17,23
15,8,2018,13,18,23
16,8,2018,14,18,24
17,8,2018,12,18,24
18,8,2018,13,17,24
19,8,2018,14,19,25
20,8,2018,13,18,24
21,8,2018,14,17,21
22,8,2018,14,18,23
23,8,2018,15,18,24
24,8,2018,13,18,24
25,8,2018,14,19,25
26,8,2018,14,17,22
27,8,2018,14,18,23
28,8,2018,14,17,22
29,8,2018,14,16,22
30,8,2018,15,19,24
31,8,2018,14,19,24
1,9,2018,13,18,24
2,9,2018,14,20,25
3,9,2018,14,18,25
4,9,2018,14,20,24
5,9,2018,14,19,24
6,9,2018,14,18,24
7,9,2018,15,18,24
8,9,2018,14,19,24
9,9,2018,13,18,25
10,9,2018,14,19,24
11,9,2018,15,19,23
12,9,2018,14,17,24
13,9,2018,14,16,22
14,9,2018,15,18,23
15,9,2018,16,18,23
16,9,2018,14,17,22
17,9,2018,14,17,23
18,9,2018,13,17,24
19,9,2018,14,18,24
20,9,2018,15,19,25
21,9,2018,14,19,25
22,9,2018,13,18,25
23,9,2018,14,18,24
24,9,2018,12,17,25
25,9,2018,15,19,25
26,9,2018,14,18,24
27,9,2018,14,18,23
28,9,2018,14,18,23
29,9,2018,13,17,22
30,9,2018,14,18,24
1,10,2018,15,18,23
2,10,2018,13,17,22
3,10,2018,15,18,22
4,10,2018,15,18,22
5,10,2018,14,18,25
6,10,2018,12,17,23
7,10,2018,14,18,23
8,10,2018,14,17,21
9,10,2018,13,18,23
10,10,2018,15,19,23
11,10,2018,14,18,24
12,10,2018,15,19,23
13,10,2018,14,18,23
14,10,2018,15,19,24
15,10,2018,15,20,24
16,10,2018,14,19,23
17,10,2018,14,17,20
18,10,2018,14,16,20
19,10,2018,14,17,21
20,10,2018,14,17,20
21,10,2018,14,17,20
22,10,2018,13,17,23
23,10,2018,10,16,24
24,10,2018,11,18,24
25,10,2018,13,19,26
26,10,2018,15,19,24
27,10,2018,13,16,21
28,10,2018,13,16,20
29,10,2018,14,17,22
30,10,2018,13,17,23
31,10,2018,12,16,22
1,11,2018,13,17,21
2,11,2018,14,15,20
3,11,2018,12,15,21
4,11,2018,12,14,17
5,11,2018,12,17,23
6,11,2018,10,17,26
7,11,2018,12,19,25
8,11,2018,12,19,25
9,11,2018,12,18,24
10,11,2018,10,16,22
11,11,2018,10,17,23
12,11,2018,11,17,24
13,11,2018,11,16,21
14,11,2018,4,8,16
15,11,2018,7,11,19
16,11,2018,6,13,20
17,11,2018,7,15,22
18,11,2018,8,15,21
19,11,2018,7,15,23
20,11,2018,8,16,23
21,11,2018,8,15,23
22,11,2018,10,17,23
23,11,2018,10,17,24
24,11,2018,12,18,25
25,11,2018,14,19,26
26,11,2018,9,16,21
27,11,2018,9,17,23
28,11,2018,14,16,19
29,11,2018,13,15,18
30,11,2018,12,16,20
1,12,2018,11,17,23
2,12,2018,10,18,25
3,12,2018,9,17,25
4,12,2018,8,15,23
5,12,2018,13,15,18
6,12,2018,8,16,21
7,12,2018,10,17,23
8,12,2018,9,17,24
9,12,2018,10,16,22
10,12,2018,11,15,20
11,12,2018,7,12,18
12,12,2018,8,14,20
13,12,2018,10,16,22
14,12,2018,9,15,22
15,12,2018,4,11,19
16,12,2018,3,13,21
17,12,2018,6,14,20
18,12,2018,7,15,22
19,12,2018,12,16,22
20,12,2018,7,14,19
21,12,2018,1,12,20
22,12,2018,3,12,21
23,12,2018,5,13,22
24,12,2018,4,13,21
25,12,2018,6,14,22
26,12,2018,7,14,21
27,12,2018,10,16,23
28,12,2018,6,15,22
29,12,2018,7,16,25
30,12,2018,7,15,22
31,12,2018,10,16,23
1,1,2019,6,15,23
2,1,2019,7,14,22
3,1,2019,7,15,22
4,1,2019,8,15,23
5,1,2019,8,16,23
6,1,2019,8,16,24
7,1,2019,7,17,24
8,1,2019,4,15,24
9,1,2019,3,13,20
10,1,2019,8,14,20
11,1,2019,8,13,18
12,1,2019,12,16,21
13,1,2019,12,14,19
14,1,2019,11,14,19
15,1,2019,7,13,20
16,1,2019,8,15,21
17,1,2019,9,15,20
18,1,2019,9,16,22
19,1,2019,10,16,21
20,1,2019,7,14,22
21,1,2019,6,15,23
22,1,2019,6,15,24
